overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
33,3,3,S03E03,Normandy: War-Torn Yet Full of Life,"Normandy, France; lily ponds; artisans; composer Erik Satie; cuisine; pilgrims.",Food & Cuisine; History & Heritage; Religion & Spirituality; Industry & Crafts,Standard,No,France,France,Western Europe,Normandy,FR,🇫🇷,49.0677708,0.3138532,full,2004-10-17,2004,Oct,Sun,1505,7,tt1453774,https://www.imdb.com/title/tt1453774/,7.4,28,7.5595517065715745,FALSE,https://i1.ytimg.com/vi/vzU1h61yqQg/maxresdefault.jpg,ricksteves.com,"In this program we explore the half-timbered charm of Rouen, reflect on Monet's lily ponds in Giverny, peek in on local artisans, and set up an easel at Honfleur's harbor. We venture into composer Erik Satie's eccentric world and feast on the finest of Normandy cuisine. After pondering sacrifice and celebrating freedom on the D-Day beaches, we hike with pilgrims to the enchanted island abbey of Mont St-Michel.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/normandy,https://www.tvmaze.com/episodes/525276/rick-steves-europe-3x03-frances-normandy-war-torn-yet-full-of-life,525276
34,3,4,S03E04,Belfast and the Best of Northern Ireland,"Belfast, Northern Ireland; Irish whiskey; rock columns; golf course; Irish music.",Food & Cuisine; Music & Festivals,Standard,No,United Kingdom,United Kingdom,British Isles,Northern Ireland,GB,🇬🇧,54.5859836,-6.9591554,full,2004-10-24,2004,Oct,Sun,1512,7,tt1453767,https://www.imdb.com/title/tt1453767/,8,33,7.892924363889857,FALSE,https://i1.ytimg.com/vi/Bcpm1CRg1Sc/maxresdefault.jpg,ricksteves.com,"In this program we tour bustling Belfast's City Hall and Ulster Museum, then head out to Northern Ireland's favorite resort: Portrush, along the Antrim Coast, where we taste-test Irish whiskey, scramble over some six-sided geology in the Giant's Causeway, drop in on a world-class golf course, and stomp our feet to some traditional music.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/northern-ireland,https://www.tvmaze.com/episodes/525277/rick-steves-europe-3x04-belfast-and-the-best-of-northern-ireland,525277
35,3,5,S03E05,London: Mod and Trad,London; Millennium Bridge; mummies; riverside beachcombing; the Thames.,NA,Standard,Yes,United Kingdom,United Kingdom,British Isles,London,GB,🇬🇧,51.5074456,-0.1277653,full,2004-10-31,2004,Oct,Sun,1519,7,tt1453773,https://www.imdb.com/title/tt1453773/,8.1,25,7.926463035545344,FALSE,https://i.ytimg.com/vi/Z4EQdSgKXlQ/hqdefault.jpg,ricksteves.com,"Getting up to date in London, we jog with locals in Hyde Park, marvel at cultural treasures in the Victoria and Albert Museum, and nibble through a trendy East End food tour before luxuriating over afternoon tea. Then we celebrate London's regeneration as it turns industrial wastelands into inviting commercial zones and skyscrapers come with ""garden in the sky"" viewing platforms.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/london,https://www.tvmaze.com/episodes/525278/rick-steves-europe-3x05-london-mod-and-trad,525278
36,3,6,S03E06,Highlights of Paris: Eiffel and Monet to Creme Brulee,Eiffel Tower; Orsay Gallery; French cuisine; Parisian history.,Food & Cuisine; Art & Architecture; Modern Life & Urban,Standard,Yes,France,France,Western Europe,Paris,FR,🇫🇷,48.8534951,2.3483915,full,2004-11-07,2004,Nov,Sun,1526,7,tt1457632,https://www.imdb.com/title/tt1457632/,8,29,7.884843183806073,FALSE,NA,NA,Eiffel Tower; Orsay Gallery; French cuisine; Parisian history.,synopsis,26,NA,https://www.tvmaze.com/episodes/525279/rick-steves-europe-3x06-highlights-of-paris-eiffel-and-monet-to-creme-brulee,525279
37,3,7,S03E07,Belgium: Bruges and Brussels,Headquarters of the European Union; medieval hospital; carillon concert; lace; art; Belgian chocolate.,Food & Cuisine; Art & Architecture; History & Heritage; Music & Festivals; Industry & Crafts,Standard,No,Belgium,Belgium,Western Europe,Bruges and Brussels,BE,🇧🇪,51.2085526,3.226772,simple,2004-11-14,2004,Nov,Sun,1533,7,tt1457628,https://www.imdb.com/title/tt1457628/,7.4,28,7.5595517065715745,FALSE,https://i1.ytimg.com/vi/gZuI-dR9pfU/maxresdefault.jpg,ricksteves.com,"In this program, we start in Bruges to check into a medieval hospital, savor the exquisite art of Memling, climb a bell tower to get up close and fortissimo at a carillon concert, and sample fresh frites and the world's tastiest chocolate. Then we ride the train to Brussels, where we stroll Europe's finest square, revel in Bruegels' country scenes and Magritte's surreal dreamscapes, then pay a visit to the bustling hub of European democracy.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/belgium-bruges-and-brussels,https://www.tvmaze.com/episodes/525280/rick-steves-europe-3x07-belgium-bruges-and-brussels,525280
38,3,8,S03E08,"Provence: Legendary Light, Wind, and Wine",Roman ruins in Nimes; Avignon's papal palace; Van Gogh's Arles; the Rhone.,Food & Cuisine; Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,France,France,Western Europe,Provence,FR,🇫🇷,44.0580563,6.0638506,full,2004-11-21,2004,Nov,Sun,1540,7,tt1457635,https://www.imdb.com/title/tt1457635/,7.3,29,7.501824315881544,FALSE,https://i1.ytimg.com/vi/9AZ7_yC_t_Q/maxresdefault.jpg,ricksteves.com,"In this program, we climb Roman ruins in Nîmes, explore a papal palace in Avignon, and savor vivid views immortalized by Van Gogh in Arles. Crossing acres of lavender and wispy vineyards, we explore the Côtes du Rhône and more wonders of the south of France.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/provence-legendary-light-wind-and-wine,https://www.tvmaze.com/episodes/525281/rick-steves-europe-3x08-frances-provence-legendary-light-wind-and-wine,525281
39,3,9,S03E09,French Riviera: Uniquely Chic,The Riviera's yachts; Monaco harbor; Nice's promenade; artists' hangouts.,NA,Standard,No,France,France,Mediterranean,French Riviera,FR,🇫🇷,43.9525507,7.4794283,full,2004-11-28,2004,Nov,Sun,1547,7,tt1457630,https://www.imdb.com/title/tt1457630/,7.6,25,7.671360994729017,FALSE,https://i1.ytimg.com/vi/er2tS8vWXHs/maxresdefault.jpg,ricksteves.com,"In this program, we follow in the footsteps of 19th-century aristocrats along Nice's Promenade des Anglais. Then we listen to the graceful reshuffling of personal fortunes at the casino in fairy-tale Monaco, and visit the picturesque artist hangouts of Chagall, Matisse, and Picasso.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/french-riviera-uniquely-chic,https://www.tvmaze.com/episodes/525282/rick-steves-europe-3x09-french-riviera-uniquely-chic,525282
40,3,10,S03E10,"Poland Rediscovered: Krakow, Auschwitz, and Warsaw",Cobbled and Baroque Krakow; tragedy at Auschwitz; lively Warsaw.,Art & Architecture; History & Heritage,Standard,Yes,Poland,Poland,Eastern Europe,Poland,PL,🇵🇱,52.215933,19.134422,full,2004-12-05,2004,Dec,Sun,1554,7,tt1457634,https://www.imdb.com/title/tt1457634/,7.6,32,7.66244087038789,FALSE,https://i.ytimg.com/vi/70GXfWe3CyA/hqdefault.jpg,ricksteves.com,"This one-hour ""best of Poland"" special begins in Kraków, with a stunning square, historic castle, and nearby, communist-era Nowa Huta and Auschwitz-Birkenau concentration camp memorial. Then we head to bustling Warsaw for skyscrapers and Chopin, sample gingerbread in Toruń, and ogle red-brick Malbork Castle. We finish in Gdańsk with handsome Hanseatic townhouses and stirring Solidarity history.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/poland,https://www.tvmaze.com/episodes/525283/rick-steves-europe-3x10-poland-rediscovered-krakow-auschwitz-and-warsaw,525283
41,3,11,S03E11,Budapest: The Best of Hungary,"Straddling the Danube River, Budapest features bridges, mineral baths, old coffeehouses, parks and thriving capitalism.",Nature & Outdoors,Standard,No,Hungary,Hungary,Eastern Europe,Budapest,HU,🇭🇺,47.4813896,19.1457723,full,2004-12-12,2004,Dec,Sun,1561,7,tt1458295,https://www.imdb.com/title/tt1458295/,7.3,32,7.491012298959319,FALSE,https://i1.ytimg.com/vi/rs_w9cwJ1Fg/maxresdefault.jpg,ricksteves.com,"In this program, we soak in elegance at the thermal Széchenyi Baths, stomp and slap with traditional dancers at a folk concert, visit the Communist all-stars in Memento Park, remember Hungary's secret police at the House of Terror, sample some paprika in the Great Indoor Market Hall, and cruise under floodlit monuments on the Danube.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/budapest-the-best-of-hungary,https://www.tvmaze.com/episodes/525284/rick-steves-europe-3x11-budapest-the-best-of-hungary,525284
42,3,12,S03E12,Lisbon and the Algarve,"The best of Portugal features Lisbon's Fado singers and ornate architecture, and the Algarve's windy Cape Sagres and pristine beaches.",Food & Cuisine; Art & Architecture; Music & Festivals; Modern Life & Urban,Standard,No,Portugal,Portugal,Iberia,Lisbon and Algarve,PT,🇵🇹,38.7077507,-9.1365919,simple,2004-12-19,2004,Dec,Sun,1568,7,tt1458297,https://www.imdb.com/title/tt1458297/,7.1,26,7.409933774834437,FALSE,https://i1.ytimg.com/vi/5mjEAakFj_A/maxresdefault.jpg,ricksteves.com,"We start in Lisbon, where salty sailors' quarters and wistful fado singers mix with ornate architecture to recall the city's glory days, when Vasco da Gama and Magellan made Portugal a world power. Then it's on to the southern Algarve coastline, where we explore the Land's End of Europe — windy and historic Cape Sagres — before savoring pristine beaches and arm-wrestling octopuses in the sleepy fishing village of Salema.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/lisbon-and-the-algarve,https://www.tvmaze.com/episodes/525285/rick-steves-europe-3x12-portugal-lisbon-and-the-algarve,525285
43,3,13,S03E13,Sevilla,"Bullfighting and flamenco in Sevilla; Moorish palace, cathedral and labyrinthine Jewish quarter in Andalusia.",Art & Architecture; Religion & Spirituality; Music & Festivals,Standard,No,Spain,Spain,Iberia,Sevilla,ES,🇪🇸,37.3886303,-5.9953403,full,2004-12-26,2004,Dec,Sun,1575,7,tt1458300,https://www.imdb.com/title/tt1458300/,7.2,24,7.472847682119205,FALSE,https://i1.ytimg.com/vi/72aaBV9882I/maxresdefault.jpg,ricksteves.com,"Sevilla is the flamboyant city of Carmen and Don Juan, where bullfighting is still politically correct and little girls dream of growing up to become flamenco dancers. Sevilla has soul — and we feel it in its lacy Moorish palace, massive cathedral, lavish royal tombs, labyrinthine Jewish quarter, and its people-filled streets.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/sevilla,https://www.tvmaze.com/episodes/525286/rick-steves-europe-3x13-rick-steves-classic-europe,525286
44,4,1,S04E01,England's Bath and York,Roman hot springs; cruising canals; Gothic church; Viking history.,Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,United Kingdom,United Kingdom,British Isles,Bath and York,GB,🇬🇧,53.9599499,-1.081818,full,2006-10-01,2006,Oct,Sun,2219,644,tt1455468,https://www.imdb.com/title/tt1455468/,7.3,34,7.484425667960721,FALSE,https://i1.ytimg.com/vi/DXI5NqVSzWc/maxresdefault.jpg,ricksteves.com,"In Bath, we visit the Georgian House and Roman baths, learn even more about this elegant spa town on a free town walk, drop in on the Fashion Museum and the Museum of Bath at Work, and chuckle our way through the Bizarre Bath street-theater walk. In York, we visit the majestic York Minster, the slice-of-life Yorkshire Museum, and the fun, hands-on National Railway Museum.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/england-bath-and-york,https://www.tvmaze.com/episodes/525290/rick-steves-europe-4x01-englands-bath-and-york,525290
45,4,2,S04E02,North Wales: Feisty and Poetic,Mount Snowdon; medieval castles; Victorian promenades; slate mine; sheep-herding dog.,History & Heritage; Industry & Crafts,Standard,No,United Kingdom,United Kingdom,British Isles,North Wales,GB,🇬🇧,52.9487855,-3.7601273,full,2006-10-08,2006,Oct,Sun,2226,7,tt1455474,https://www.imdb.com/title/tt1455474/,7.4,27,7.562680171406311,FALSE,https://i1.ytimg.com/vi/MgUBCU3Dx9M/maxresdefault.jpg,ricksteves.com,"In this program we explore North Wales, from towering Mount Snowdon to evocative medieval castles to grand Victorian promenades. We visit the castle-within-a-castle in Conwy, peek into 16th-century domestic life at Plas Mawr, go down deep in the Llechwedd Slate Caverns, and up high in Snowdonia National Park, then make a ""Beatles pilgrimage"" to Liverpool.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/north-wales-feisty-and-poetic,https://www.tvmaze.com/episodes/525291/rick-steves-europe-4x02-north-wales-feisty-and-poetic,525291
46,4,3,S04E03,Edinburgh,Edinburgh Castle; the new Scottish Parliament Building; Her Majesty's Yacht Britannia.,History & Heritage,Standard,No,United Kingdom,United Kingdom,British Isles,Edinburgh,GB,🇬🇧,55.9533456,-3.1883749,full,2006-10-15,2006,Oct,Sun,2233,7,tt1455467,https://www.imdb.com/title/tt1455467/,7.5,37,7.596667028552817,FALSE,https://i1.ytimg.com/vi/Qk6B4YyQSbo/maxresdefault.jpg,ricksteves.com,"In this program we explore the cultural heart of Scotland. After rambling through Edinburgh Castle, we experience Scottish literature and Scotch whisky, savor the new Scottish cuisine with a local friend, stow away on Her Majesty's yacht, Britannia, and check out the groundbreaking Scottish Parliament.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/edinburgh,https://www.tvmaze.com/episodes/525292/rick-steves-europe-4x03-edinburgh,525292
47,4,4,S04E04,Naples and Pompeii,Back-street fish markets; pizza; climbing Mount Vesuvius; the ruins of Pompeii.,Food & Cuisine; History & Heritage,Standard,No,Italy,Italy,Mediterranean,Naples and Pompeii,IT,🇮🇹,40.8358846,14.2487679,simple,2006-10-22,2006,Oct,Sun,2240,7,tt1455473,https://www.imdb.com/title/tt1455473/,6.9,30,7.275864606328183,FALSE,https://i1.ytimg.com/vi/mgxD4JgdMYY/maxresdefault.jpg,ricksteves.com,"In this program we go shopping Neapolitan style, dodge scooters in Naples' crazy traffic, explore the city's vibrant neighborhoods, admire exquisite ancient mosaics at the National Museum of Archaeology, taste pizza in its birthplace, climb the lip of Mount Vesuvius, and wander the amazing ruins of the Roman town it destroyed: Pompeii.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/naples-and-pompeii,https://www.tvmaze.com/episodes/525293/rick-steves-europe-4x04-naples-and-pompeii,525293
48,4,5,S04E05,Italy's Amalfi Coast,The Amalfi Coast: Positano resort; Sorrento; ancient Greek temples at Paestum; the Blue Grotto.,History & Heritage; Nature & Outdoors,Standard,No,Italy,Italy,Mediterranean,Amalfi Coast,IT,🇮🇹,40.6782917,14.7091265,full,2006-10-29,2006,Oct,Sun,2247,7,tt1455471,https://www.imdb.com/title/tt1455471/,7.4,32,7.548155156102176,FALSE,https://i1.ytimg.com/vi/1rx9dWL6cAc/maxresdefault.jpg,ricksteves.com,"In this program, we explore Sorrento's back streets, taste traditional Italian food, drive along the dramatic Amalfi Coast to catch some breathtaking scenery, learn the history behind the tourist shops of Amalfi, stroll in the shadow of Greek temples at Paestum, and sail to the isle of Capri to enter the fabled Blue Grotto.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/italy-amalfi-coast,https://www.tvmaze.com/episodes/525294/rick-steves-europe-4x05-italys-amalfi-coast,525294
49,4,6,S04E06,Milan and Lake Como,"Fashion in Milan, Italy; cruising Lake Como; lakeside village of Varenna.",Nature & Outdoors; Modern Life & Urban,Standard,No,Italy,Italy,Mediterranean,Milan and Lake Como,IT,🇮🇹,45.4641943,9.1896346,simple,2006-11-05,2006,Nov,Sun,2254,7,tt1458298,https://www.imdb.com/title/tt1458298/,7.3,26,7.513933774834436,FALSE,https://i1.ytimg.com/vi/xgFInCmXrPw/maxresdefault.jpg,ricksteves.com,"No trip to Italy is complete without Milan and Lake Como. In Milan we'll take a peek at Italy's highest fashion, fanciest delis, grandest cemetery, and greatest opera house…not to mention Leonardo's Last Supper. Then we'll cruise along Lake Como, settling down in the lakeside village of Varenna…classic honeymoon country, where Italy meets the Alps.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/milan-and-lake-como,https://www.tvmaze.com/episodes/525295/rick-steves-europe-4x06-milan-and-lake-como,525295
50,4,7,S04E07,Tuscany's Dolce Vita,Hunting for truffles; artichoke festival; farmhouse feast; a ride through cypress groves.,Food & Cuisine; Music & Festivals,Standard,No,Italy,Italy,Mediterranean,Tuscany,IT,🇮🇹,43.4586541,11.1389204,full,2006-11-12,2006,Nov,Sun,2261,7,tt1458304,https://www.imdb.com/title/tt1458304/,7.1,22,7.436884537863518,FALSE,https://i1.ytimg.com/vi/M_SwFajTAVk/maxresdefault.jpg,ricksteves.com,"Tuscany offers a dolce vita mix of hearty cuisine, fascinating history, and gentle beauty. First we'll learn about the original Tuscans — the ancient Etruscans — at Volterra's Etruscan Museum, then we'll tour a hill town that was important to both the Etruscans and the Romans, head into the woods for a truffle hunt, eat slow food Italian-style during Sunday lunch in Chiusure, and finish in Montepulciano, where we'll get passionate about the local wine.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/tuscany-dolce-vita,https://www.tvmaze.com/episodes/525296/rick-steves-europe-4x07-tuscanys-dolce-vita,525296
51,4,8,S04E08,Italy's Great Hill Towns,"Italy's classic hill towns include San Gimignano, Cortona, Orvieto and Civita di Bagnoregio.",NA,Standard,No,Italy,Italy,Mediterranean,Tuscan Hill Towns,IT,🇮🇹,42.6384261,12.674297,country,2006-11-19,2006,Nov,Sun,2268,7,tt1458296,https://www.imdb.com/title/tt1458296/,7.5,19,7.637132296319113,FALSE,https://i.ytimg.com/vi/VUTZ9nE7_XQ/maxresdefault.jpg,ricksteves.com,"In this program, we'll drive through the Tuscan and Umbrian countryside connecting all the hill-town dots, see a ceiling fresco masterpiece not by Michelangelo, eat rustic bruschetta, walk a vineyard that goes all the way back to Etruscan times — and more, all while exploring a string of hill-capping medieval towns that somehow manage to keep their heads above the flood of the 21st century.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/italy-hill-towns,https://www.tvmaze.com/episodes/525297/rick-steves-europe-4x08-italys-great-hill-towns,525297
52,4,9,S04E09,Vienna,The palace of Maria Theresa; Hapsburg crown jewels; a picnic on the Danube.,Art & Architecture,Standard,No,Austria,Austria,Alpine,Vienna,AT,🇦🇹,48.2083537,16.3725042,full,2006-11-26,2006,Nov,Sun,2275,7,tt1458305,https://www.imdb.com/title/tt1458305/,7.7,27,7.721503700818075,FALSE,https://i1.ytimg.com/vi/cfT7P9Vdq7o/maxresdefault.jpg,ricksteves.com,"In this program, we'll nibble chocolate cake at an Old World café, and marvel at the indomitable Gothic cathedral at the heart of town. Then we'll tiptoe through the Hofburg Palace, be dazzled by the Habsburg crown jewels at the Imperial Treasury, sniff vinegar and Kraut at the Naschmarkt, and waltz to the three-four beat of Johann Strauss in Vienna's City Park.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/vienna,https://www.tvmaze.com/episodes/525298/rick-steves-europe-4x09-vienna,525298
53,4,10,S04E10,Salzburg and Surroundings,"Alpine adventures include summer bobsledding, hiking around Hitler's Eagles Nest hideout and a boat ride on Lake Hallstatt.",History & Heritage; Nature & Outdoors,Standard,No,Austria,Austria,Alpine,Salzburg,AT,🇦🇹,47.7981346,13.0464806,full,2006-12-03,2006,Dec,Sun,2282,7,tt1458299,https://www.imdb.com/title/tt1458299/,7.9,27,7.827386053759252,FALSE,https://i1.ytimg.com/vi/TmgOy9fGHjE/maxresdefault.jpg,ricksteves.com,"The birthplace of Mozart — and everyone's Sound of Music fantasies — Salzburg is a Baroque jewel of a town. It's also the springboard for lots of alpine fun — from thrilling summer bobsledding, to idyllic boat rides in the Salzkammergut lake district, to exploring the delightful romantic town of Hallstatt.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/salzburg-and-surroundings,https://www.tvmaze.com/episodes/525300/rick-steves-europe-4x10-salzburg-and-surroundings,525300
54,4,11,S04E11,Rick Steves' Europe: The Making Of,The challenges and surprises of travel are shaped into a finished show.,NA,Behind the Scenes,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2006-12-10,2006,Dec,Sun,2289,7,tt1458301,https://www.imdb.com/title/tt1458301/,7.5,25,7.620340586565752,FALSE,https://i1.ytimg.com/vi/PmHd7oDpoL8/maxresdefault.jpg,ricksteves.com,"Take a peek behind the scenes of the public television series ""Rick Steves' Europe"" as Rick and his crew scamper through Milan and around Lake Como. You'll follow the creative process as the challenges and surprises that come with travel are shaped into a finished TV show.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/the-making-of,NA,NA
55,5,1,S05E01,Burgundy: Profoundly French,"Fine living in Burgundy, France; canal barge; medieval hospice; modern monastery.",History & Heritage; Religion & Spirituality; Modern Life & Urban,Standard,No,France,France,Western Europe,Burgundy,FR,🇫🇷,47.2780873,4.2224863,full,2008-10-05,2008,Oct,Sun,2954,665,tt1455466,https://www.imdb.com/title/tt1455466/,7.2,25,7.467279362075956,FALSE,https://i1.ytimg.com/vi/kri_sWf0upg/maxresdefault.jpg,ricksteves.com,"Burgundy is a calm and cultivated corner of France, where fine living is intimately tied to nature and traditions run strong. We'll slow down to enjoy the region's edible, drinkable, scenic, and floatable delights. We'll travel on a canal barge, visit a medieval hospice and a modern monastery, build a barrel, appreciate fine Burgundy wine, slurp escargot, and eat very, very well. If you're looking for quintessential French culture, you'll find it in Burgundy.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/burgundy-profoundly-french,https://www.tvmaze.com/episodes/525301/rick-steves-europe-5x01-burgundy-profoundly-french,525301
56,5,2,S05E02,France's Dordogne,"A canoe ride through the Dordogne River Valley; goose farm; lamp-lit castle; country market; Albi, home of Toulouse Lautrec; Carcassonne.",Food & Cuisine; History & Heritage; Nature & Outdoors,Standard,No,France,France,Western Europe,Dordogne,FR,🇫🇷,45.1429199,0.6321258,full,2008-10-12,2008,Oct,Sun,2961,7,tt1455469,https://www.imdb.com/title/tt1455469/,7.1,22,7.436884537863518,FALSE,https://i1.ytimg.com/vi/oq8f2Hg32ho/maxresdefault.jpg,ricksteves.com,"The Dordogne River Valley — with its dramatic castles, evocative cave paintings, and prized cuisine — is an unforgettable blend of man-made and natural beauty. We'll take an idyllic canoe ride, and then visit a goose farm and savor the foie gras. We'll also wander through a lamp-lit castle, enjoy a country market, and visit the Sistine Chapel of the prehistoric world. Then we head south to Albi, home of Toulouse-Lautrec, and the imposing fortress city of Carcassonne.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/france-dordogne,https://www.tvmaze.com/episodes/525302/rick-steves-europe-5x02-frances-dordogne,525302
57,5,3,S05E03,Barcelona and Catalunya,The festivity of Barcelona; Montserrat; pilgrimage along the Costa Brava; Salvador Dali's home and mausoleum/museum.,Art & Architecture; Religion & Spirituality,Standard,No,Spain,Spain,Iberia,Barcelona,ES,🇪🇸,41.3825802,2.177073,full,2008-10-19,2008,Oct,Sun,2968,7,tt1455465,https://www.imdb.com/title/tt1455465/,7.8,26,7.773933774834436,FALSE,https://i1.ytimg.com/vi/qI7S3mCIbgQ/maxresdefault.jpg,ricksteves.com,"The creative spirit of Spain's Catalunya — the land of Picasso, Gaudí, and Salvador Dalí — is on a roll. We'll get caught up in the festivity of Barcelona, enjoying the vibrant street scenes, tasty tapas, and pedestrian-friendly Gothic Quarter. Then we'll take a scenic side trip to mountaintop Montserrat, and finish with an artist’s pilgrimage along the Costa Brava to Salvador Dalí country. In seaside Cadaqués, we'll visit Dalí's home, and in nearby Figueres, we'll experience his playfully surreal mausoleum/museum.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/barcelona-and-catalunya,https://www.tvmaze.com/episodes/525303/rick-steves-europe-5x03-barcelona-and-catalunya,525303
58,5,4,S05E04,Little Europe: Five Micro-Countries,"Vatican City, the world's smallest country; Monaco; San Marino, Italy; Liechtenstein; Andorra.",Religion & Spirituality,Special,No,Multiple,Andorra; Liechtenstein; Monaco; San Marino; Vatican City,Multi-Region,Micro-states,ZZ,🌍,43.846,8.67,centroid,2008-10-26,2008,Oct,Sun,2975,7,tt1455472,https://www.imdb.com/title/tt1455472/,7.9,33,7.835029627047751,FALSE,https://i1.ytimg.com/vi/f6sz8ysrNJU/maxresdefault.jpg,ricksteves.com,"Don't blink as we blitz through Europe's tiniest countries: Vatican City, the planet's smallest country, boasts the its biggest church. The fairy-tale princedom of Monaco lures high rollers with its fancy casino and glamorous views. Italy's last independent hill town, San Marino, still looks formidable, as does the castle-guarded principality of Liechtenstein. And amid the rugged beauty of the Pyrenees, tiny Andorra draws shoppers and hikers alike.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/little-europe,https://www.tvmaze.com/episodes/525304/rick-steves-europe-5x04-little-europe-five-microcountries,525304
59,5,5,S05E05,Switzerland's Great Cities,"Luzern, Bern, Zurich and Lausanne; art created by inmates of an asylum; Swiss innovations such as drug policies and underground arsenals.",Art & Architecture,Standard,No,Switzerland,Switzerland,Alpine,Swiss Cities,CH,🇨🇭,46.7985624,8.2319736,country,2008-11-02,2008,Nov,Sun,2982,7,tt1455470,https://www.imdb.com/title/tt1455470/,7.3,26,7.513933774834436,FALSE,https://i1.ytimg.com/vi/_hplFBrbzvE/maxresdefault.jpg,ricksteves.com,"Focusing on Switzerland's often-overlooked urban charms, we explore lakeside Luzern, cobbled Bern, spire-filled Zürich, and sophisticated Lausanne. We'll enjoy eye-opening art, from Chagall and Klee to the works of asylum inmates. We'll ring a very big bell high up in a church spire, float down a rushing river, and ponder Switzerland's pragmatic drug policies and hidden underground arsenals. And it's all before a backdrop of stunning natural beauty.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/great-swiss-cities,https://www.tvmaze.com/episodes/525305/rick-steves-europe-5x05-great-swiss-cities,525305
60,5,6,S05E06,Vienna and the Danube,"Vienna's gardens, art and fine music; a trip along the Danube River; hiking through the Baroque Melk Abbey.",Art & Architecture; History & Heritage; Nature & Outdoors; Religion & Spirituality; Music & Festivals,Standard,No,Austria,Austria,Alpine,Vienna and Danube,AT,🇦🇹,48.2083537,16.3725042,simple,2008-11-09,2008,Nov,Sun,2989,7,tt1461041,https://www.imdb.com/title/tt1461041/,7.6,24,7.672847682119205,FALSE,https://i1.ytimg.com/vi/V2uBQyaTGII/maxresdefault.jpg,ricksteves.com,"For centuries, Vienna was the crown jewel of the rich and powerful Habsburg Empire. A century after that empire's fall, the Viennese appreciate their imperial legacy as a cultural wellspring — and an excuse to live in style. We'll take in the city's wealth of elegant gardens, great art, and fine music. Then we'll explore the city's surroundings, with a trip along the romantic Danube River and a hike through the breathtakingly Baroque Melk Abbey.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/vienna-and-the-danube,https://www.tvmaze.com/episodes/525306/rick-steves-europe-5x06-vienna-and-the-danube,525306
